Name,MC_USD_Billion,MC_GBP_Billion,MC_EUR_Billion,MC_INR_Billion
JPMorgan Chase,599.931,479.94,557.94,49992.25
Bank of America,307.9,246.32,286.35,25657.31
Industrial and Commercial Bank of China,303.543,242.83,282.29,25294.24
Agricultural Bank of China,232.836,186.27,216.54,19402.22
Bank of China,209.295,167.44,194.64,17440.55
China Construction Bank,192.715,154.17,179.22,16058.94
Wells Fargo,192.279,153.82,178.82,16022.61
HSBC,163.544,130.84,152.1,13628.12
Commonwealth Bank,156.639,125.31,145.67,13052.73
Goldman Sachs,156.356,125.08,145.41,13029.15
